koel|goel,keel,kohl,noel
stum|scum,slum,soum,stem,stim,stub,stud,stun,swum
firn|airn,fern,fire,firk,firm,firs,girn,kirn,pirn
buns|bans,bens,bins,bubs,buds,bugs,bums,buna,bund,bung,bunk,bunn,bunt,burs,buss,buts,buys,duns,funs,guns,huns,luns,muns,nuns,puns,runs,suns,tuns
gans|bans,cans,dans,eans,fans,gabs,gads,gaes,gags,gals,gams,gane,gang,gant,gaps,gars,gats,gaus,gays,gens,gins,gons,guns,kans,mans,nans,pans,sans,tans,vans,wans
pern|dern,fern,hern,kern,pean,peen,pein,peon,perc,pere,perf,peri,perk,perm,perp,pert,perv,pirn,porn,tern
leer|beer,deer,feer,jeer,laer,lear,leed,leek,leep,lees,leet,lehr,leir,lier,meer,neer,peer,seer,teer,veer,weer
aiga|aida,alga,anga,biga,giga,viga
mity|city,maty,miny,miry,mite,mitt,mixy,pity
otic|etic,odic,oxic
fobs|bobs,cobs,dobs,fabs,fibs,foes,fogs,fohs,fons,foos,fops,foss,fous,foys,fubs,gobs,hobs,jobs,kobs,lobs,mobs,nobs,robs,sobs,yobs
lion|cion,lien,limn,linn,loon,pion
acta|acca,acto,acts,anta,octa
rate|bate,cate,date,fate,gate,hate,late,mate,pate,race,rade,rage,rake,rale,rape,rare,rase,rata,rath,rato,rats,ratu,rave,raze,rete,rite,rote,sate,tate,wate,yate
waul|caul,haul,maul,paul,saul,wail,wall,wauk,waur,wawl
mole|bole,cole,dole,gole,hole,jole,male,mile,mobe,mode,moke,mola,mold,moll,mols,molt,moly,mome,mope,more,mose,mote,moue,move,moze,mule,nole,pole,role,sole,tole,vole
mise|bise,mase,mese,mice,mike,mile,mime,mine,mire,miso,miss,mist,mite,mose,muse,pise,rise,vise,wise
snow|anow,enow,gnow,know,scow,show,slow,snaw,snob,snod,snog,snot,stow
bubs|bibs,bobs,buba,bubo,bubu,buds,bugs,bums,buns,burs,buss,buts,buys,cubs,dubs,fubs,gubs,hubs,nubs,pubs,rubs,subs,tubs
guga|gaga,giga,gula,juga,ruga,yuga
oary|mary,nary,oaky,oars,oaty,vary,wary
bing|bang,bigg,bind,bine,bink,bins,bint,biog,bong,bung,ding,ging,hing,jing,king,ling,ming,ping,ring,sing,ting,wing,zing
rage|cage,gage,mage,page,race,rade,raga,ragg,ragi,rags,ragu,rake,rale,rape,rare,rase,rate,rave,raze,sage,wage,yage
kris|aris,bris,cris,fris,gris,iris,kais,khis,kois,pris,sris,tris
